Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Computer Science (Software Engineering) (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTYx&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Computer Science (User Experience),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTYy&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Computer Science (User Experience) (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTYz&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Computer Science (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTUx&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Criminology and Sociology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTY2&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Criminology and Sociology (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTY3&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Marketing and Communication,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTQ4&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Marketing and Communications (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTQ5&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Nutrition,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTgz&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Nutrition (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTg0&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Physiotherapy,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTg3&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,820",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Psychology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTg5&year=2026,"St. Mary's University Twickenham, London",36 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Psychology (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg1NTkw&year=2026,"St. Mary's University Twickenham, London",48 Month(s),,Sep,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Psychology with Counselling,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5MDcy&year=2026,"St. Mary's University Twickenham, London",36 Month(s),Sep,,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
UG,,"PTE, TOEFL iBT",BSc (Hons) Psychology with Counselling (with a Placement Year),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA5MDcz&year=2026,"St. Mary's University Twickenham, London",48 Month(s),Sep,,"Uni has own English Test, Scholarship Available, MOI Acceptable",124 in Webometrics Ranking of United Kingdom National,"GBP 17,100",No application fee
