Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG,,"PTE, TOEFL iBT, IELTS, DET",Engineering (with a foundation year) BEng (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODc4&year=2026,University of Sussex,48 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English and Art History BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODgy&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English and Creative Writing BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODgz&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English and Film Studies BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODg0&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English and History BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODg2&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English and Media Studies BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODg4&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODg5&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English Language and Linguistics (with TESOL) BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODkx&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English Language and Linguistics BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODky&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",English Language and Literature BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODk0&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Film Studies BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4ODk4&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Filmmaking BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTAw&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Finance and Business (with a professional placement year) BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTAy&year=2026,University of Sussex,48 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Finance and Business BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTAz&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Finance and Technology (FinTech) (with a professional placement year) BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTA0&year=2026,University of Sussex,48 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Finance and Technology (FinTech) BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTA1&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Genetics BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTE2&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Genetics MSci,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTE3&year=2026,University of Sussex,48 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography and Anthropology BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTE4&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography and International Development BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTE5&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography and International Relations BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTIw&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTIx&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTIy&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",Geography with a Language BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTIz&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET","Geography, Sustainable Development and Climate Change BSc (Hons)",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTI0&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 26,250",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History and Anthropology BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTMx&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History and International Relations BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTMy&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History and Philosophy BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTMz&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History and Politics BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTM0&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History and Sociology BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTM1&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",History BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTM2&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Business (with a professional placement year) BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTQy&year=2026,University of Sussex,48 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Business BSc (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTQ1&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Development BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTQ4&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Development with a Language BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTQ5&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Relations and Anthropology BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTU4&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Relations and Development BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTU5&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",International Relations and Sociology BA (Hons),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTc4OTYw&year=2026,University of Sussex,36 Month(s),Sep,,"Higher Backlog Acceptance, Low Tuition Deposit, No Interview Required","25 in US News Ranking, 246 in QS World Ranking, 25 in Webometrics Ranking of United Kingdom National","GBP 22,575",GBP 28.95
