Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Geography,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDM1&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Geography With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDM3&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Geography With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDM4&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Health and Social Care,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDM5&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) International Tourism Management,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQw&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) International Tourism Management With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQx&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) International Tourism Management With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQy&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marine Biology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQz&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marine Biology With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ0&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marine Biology With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ1&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marketing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ2&year=2026,Swansea University,36 Month(s),,"Sep, Jan","Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marketing with a Foundation Year,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTkwNzIz&year=2026,Swansea University,48 Month(s),Sep,Jan,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marketing With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ3&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Marketing With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ4&year=2026,Swansea University,48 Month(s),,"Sep, Jan","Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,600",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDQ5&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics and Sports Science,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDUw&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 21,700",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics for Finance,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDUx&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics for Finance With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDUy&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics for Finance With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDUz&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDU1&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Mathematics With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDU2&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Medical Biochemistry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDU3&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,750",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Medical Genetics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDU4&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,750",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Medical Pharmacology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDU5&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,750",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Medical Sciences and Population Health,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDY1&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,750",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Physics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDYw&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Physics With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDYy&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Physics With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDYz&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Physics with Particle Physics and Cosmology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDY0&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Psychology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDY2&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,550",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Pure Mathematics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDY3&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Social Policy,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDY4&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Sociology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDcw&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Sociology and Psychology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDcx&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 18,550",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Sociology and Social Policy,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDcy&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 19,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Software Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDcz&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Software Engineering with a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDc0&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Software Engineering with a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDc1&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 20,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Sport and Exercise Science,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDc2&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,050",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Sport and Exercise Science With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDc3&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,050",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Theoretical Physics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDc5&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Theoretical Physics Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDgw&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Zoology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDgx&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Zoology With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDgy&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc (Hons) Zoology With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDgz&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,000",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Business Law,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDg0&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 17,400",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDg1&year=2026,Swansea University,36 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 17,400",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law (Senior Status),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMDg3&year=2026,Swansea University,24 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 17,400",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MBBCH Medicine (Graduate Entry),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTM4&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 46,050",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MChem (Hons) Chemistry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTM5&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 22,250",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Aerospace Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTQw&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Aerospace Engineering With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTQx&year=2026,Swansea University,60 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Aerospace Engineering Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTQy&year=2026,Swansea University,60 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Biomedical Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTYx&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Biomedical Engineering With a Year Abroad,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTYy&year=2026,Swansea University,60 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Biomedical Engineering With a Year In Industry,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTYz&year=2026,Swansea University,60 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 23,950",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MEng (Hons) Chemical Engineering,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTEwMTQz&year=2026,Swansea University,48 Month(s),,Sep,"Faster Offer TAT, Uni has own English Test, English Proficiency Exam Waiver","38 in US News Ranking, 298 in QS World Ranking, 43 in Webometrics Ranking of United Kingdom National","GBP 24,700",No application fee
