Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
PG,,,MSc Management and Marketing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=OTk3MDc=&year=2026,University of Dundee,12 Month(s),Sep,Jan,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,"MSc Management, Strategy and Leadership",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=OTk3MDY=&year=2026,University of Dundee,12 Month(s),Sep,Jan,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Medical Art,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4MTY=&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Medical Imaging,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4MTg=&year=2026,University of Dundee,12 Month(s),Sep,Jan,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 27,900",No application fee
PG,,,MSc Mental Health Nursing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE0NDg1&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
PG,,,MSc Nursing & Health,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4MjQ=&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Orthopaedic and Rehabilitation Technology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4Mjk=&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 15,242",No application fee
PG,,,"MSc Orthopaedic Technology, Motion Analysis, and Movement Rehabilitation",https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjE0NTcy&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Product Design,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4Mzg=&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Professional Accountancy,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4Mzk=&year=2026,University of Dundee,12 Month(s),Sep,Jan,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
PG,,,MSc Psychological Research Methods,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg4NDY=&year=2026,University of Dundee,12 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 23,000",No application fee
