Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Adult Nursing (Kirkcaldy),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE0NDU4&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Biological Chemistry and Drug Discovery (with a year in industry),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg1Mzk=&year=2026,University of Dundee,60 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 27,400",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Child Nursing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE0NDY1&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Mental Health Nursing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE0NDgz&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Mental Health Nursing (Kirkcaldy),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTE0NDgw&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",BSc Oral Health Sciences,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg2NTY=&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 33,100",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law (Eng/NI),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg2Mjc=&year=2026,University of Dundee,36 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law (Scots and English Dual Qualifying),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg2MzA=&year=2026,University of Dundee,48 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law (Scots),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg2MzI=&year=2026,University of Dundee,48 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",LLB (Hons) Law (Scots) with Energy Law,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg2MzQ=&year=2026,University of Dundee,48 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MA (Hons) Business Economics with Marketing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg1NDU=&year=2026,University of Dundee,48 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
UG,,"PTE, TOEFL iBT, IELTS",MA (Hons) Business Economics with Marketing and Geography,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=Njg1NDc=&year=2026,University of Dundee,48 Month(s),Sep,,"MOI Acceptable, Higher Backlog Acceptance, Low Tuition Deposit","31 in US News Ranking, 418 in QS World Ranking, 40 in Webometrics Ranking of United Kingdom National","GBP 22,500",No application fee
