Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Computer Science (Cyber Security),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAyODY=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 29,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Computer Science (Game Engineering),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAyNzY=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Computer Science (Software Engineering),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAyOTA=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Economics,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMDE=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Economics and Business Management,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMDI=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Economics and Finance,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMDM=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Environmental Science,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMjA=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS",BSc Honours Finance,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjA1MTgy&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 29
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Food Business Management and Marketing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMzQ=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Geography,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNDE=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 25,000",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Human Nutrition,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMzU=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,000",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Human Nutrition with Placement,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzMzY=&year=2026,Newcastle University,48 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,000",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours International Business Management,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNDc=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Marine Biology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNTY=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Marine Zoology,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNjg=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 30,600",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Marketing,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNjk=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
UG,,"PTE, TOEFL iBT, IELTS, DET",BSc Honours Marketing and Management,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=NTAzNzA=&year=2026,Newcastle University,36 Month(s),Sep,,"Russel Group Universities (UK), MOI Acceptable, Low Tuition Deposit","18 in US News Ranking, 129 in QS World Ranking, 13 in Webometrics Ranking of United Kingdom National","GBP 24,400",GBP 28.95
